Affiliation Name,Affiliation Domain,Affiliation Country
J.P. Morgan Chase,jpmorgan.com,US
Universität Stuttgart,uni-stuttgart.de,DE
Unknown,unknown.edu,UNK
IBM Research,ibm.com,US
International Business Machines,ibm.com,US
Unknown,unknown.edu,UNK
University of Alabama in Huntsville,,UNK
Unknown,unknown.edu,UNK
Georgia Institute of Technology,gatech.edu,US
Georgia Institute of Technology,gatech.edu,US
Georgia Institute of Technology,gatech.edu,US
Microsoft,microsoft.com,US
The University of Hong Kong,hku.hk,HK
Shanghai Jiaotong University,sjtu.edu.cn,CN
The University of Hong Kong,hku.hk,HK
Unknown,unknown.edu,UNK
Microsoft,microsoft.com,US
"Soochow University, China",suda.edu.cn,CN
Huawei Technologies Ltd.,huawei.com,CN
Huawei Technologies Ltd.,huawei.com,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Xiamen University,xmu.edu.cn,CN
"Research, Google",research.google.com,US
Macquarie University,mq.edu.au,AU
Google,google.com,US
University of New South Wales,unsw.edu.au,AU
Hong Kong Polytechnic University,polyu.edu.hk,HK
The Hong Kong Polytechnic University,polyu.edu.hk,HK
Unknown,unknown.edu,UNK
"University of California, Berkeley",berkeley.edu,US
Memorial Sloan Kettering Cancer Centre,mskcc.org,UNK
Unknown,unknown.edu,UNK
"University of California, San Francisco",ucsf.edu,US
Massachusetts Institute of Technology,mit.edu,US
National University of Singapore,nus.edu.sg,SG
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, Irvine",uci.edu,US
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, Irvine",uci.edu,US
University of Science and Technology of China,ustc.edu.cn,CN
Unknown,unknown.edu,UNK
iFLYTEK Research,iflytek.com,CN
State Key Laboratory of Cognitive Intelligence,iflytek.com,CN
Shandong University,sdu.edu.cn,CN
Unknown,unknown.edu,UNK
"Centre for Artificial Intelligence and Robotics, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",cair-cas.org.hk,HK
Fudan University,fudan.edu.cn,CN
Unknown,unknown.edu,UNK
University of Cambridge,cam.ac.uk,UK
"University of Maryland, College Park",umd.edu,US
University of Oslo,nissen.uio.no,NO
Seri Mats,serimats.org,US
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
"Tsinghua University, Tsinghua University",mail.tsinghua.edu.cn,CN
Renmin University of China,ruc.edu.cn,CN
Huawei Technologies Ltd.,huawei.com,CN
Unknown,unknown.edu,UNK
Nanyang Technological University,ntu.edu.sg,SG
University of Pennsylvania,seas.upenn.edu,US
Unknown,unknown.edu,UNK
Alibaba Group,alibaba-inc.com,CN
Unknown,unknown.edu,UNK
Shenzhen Research Institute of Big Data,sribd.cn,CN
"Chinese University of Hong Kong, Shenzhen",cuhk.hk,HK
University of Utah,utah.edu,US
Johns Hopkins University,jh.edu,US
Microsoft Inc,microsoft.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Columbia University,columbia.edu,US
Friedrich-Schiller Universität Jena,uni-jena.de,DE
Delft University of Technology,tudelft.nl,NL
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Stellarrover.Inc,stellarrover.com,UNK
National Open University,ouchn.edu,UNK
Starblazer Inc,imean.ai,AI
"School of Computer Science, Carnegie Mellon University",cs.cmu.edu,US
iMeanAI,imean.ai,AI
Hebrew University of Jerusalem,huji.ac.il,IL
International Business Machines,ibm.com,US
International Business Machines,ibm.com,US
Unknown,unknown.edu,UNK
Renmin University of China,ruc.edu.cn,CN
Upstage,upstage.ai,AI
Stanford University,stanford.edu,US
Rheinische Friedrich-Wilhelms Universität Bonn,uni-bonn.de,DE
Rheinische Friedrich-Wilhelms Universität Bonn,uni-bonn.de,DE
Rheinische Friedrich-Wilhelms Universität Bonn,uni-bonn.de,DE
Sharif University of Technology,sharif.edu,IR
Apple,apple.com,US
Massachusetts Institute of Technology,mit.edu,US
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
"School of Engineering and Applied Sciences, Harvard University",seas.harvard.edu,US
Carnegie Mellon University,cmu.edu,US
Princeton University,princeton.edu,US
Unknown,unknown.edu,UNK
Swiss Federal Institute of Technology Lausanne,epfl.ch,CH
Ludwig-Maximilians-Universität München,lmu.de,DE
Ludwig-Maximilians-Universität München,lmu.de,DE
Massachusetts Institute of Technology,mit.edu,US
Télécom Paris,telecom-paris.fr,FR
University of Southampton,soton.ac.uk,UK
Department of Computer Science,cs.illinois.edu,US
University of Illinois at Urbana-Champaign,illinois.edu,US
Amazon,amazon.com,US
Amazon,amazon.com,US
Amazon,amazon.com,US
Facebook,meta.com,US
"University of Illinois, Urbana Champaign",illinois.edu,US
Moscow Institute of Physics and Technology,mipt.ru,RU
Moscow Institute of Physics and Technology,mipt.ru,RU
southern medical university,smu.edu.cn,CN
Winroad Holdings Limited,wonderworker.com,US
Unknown,unknown.edu,UNK
Ocean University of China,ouc.edu.cn,CN
International Business Machines,ibm.com,US
Unknown,unknown.edu,UNK
"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn,CN
Unknown,unknown.edu,UNK
Bar-Ilan University,biu.ac.il,IL
International Business Machines,ibm.com,US
International Business Machines,ibm.com,US
Unknown,unknown.edu,UNK
Shanghai Jiaotong University,sjtu.edu.cn,CN
"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, San Diego",ucsd.edu,US
"University of California, San Diego",ucsd.edu,US
Case Western Reserve University,case.edu,UNK
Unknown,unknown.edu,UNK
University of Science and Technology of China,ustc.edu.cn,CN
University of Science and Technology of China,ustc.edu,CN
University of Science and Technology of China,mail.ustc.edu.cn,CN
"Boston University, Boston University",bu.edu,US
"Boston University, Boston University",bu.edu,US
New York University,nyu.edu,US
New York University,nyu.edu,US
Hong Kong University of Science and Technology (Guangzhou),hkust-gz.edu.cn,CN
Princeton University,princeton.edu,US
Carnegie Mellon University,cmu.edu,US
"University of Maryland, College Park",umd.edu,US
"Université Jean Monnet, Inria",univ-st-etienne.fr,FR
"Meta Platforms, Inc",meta.com,US
Meta,meta.com,US
"University of California, Berkeley",berkeley.edu,US
University of Oxford,ox.ac.uk,UK
Unknown,unknown.edu,UNK
"HAOMO.AI Technology Co.,Ltd. ",haomo.ai,AI
"Tsinghua University, Tsinghua University",tsinghua.edu.cn,CN
Swiss Federal Institute of Technology,ethz.ch,CH
